no,nama,vote_average,vote_count,type,htm_weekday,htm_weekend,latitude,longitude,description,aff_link,trans_desc,types,combined,file_id,image_link
9,Candi Borobudur,4.7,81922,Budaya dan Sejarah,50000.0,50000.0,-7.607086854,110.2036226,Candi yang pernah masuk sebagai salah satu dari Tujuh Keajaiban Dunia ini dihiasi oleh banyak relief di dinding candi. Relief yang ada di Candi Borobudur mencapai 2.672 dan panjangnya bisa mencapai 6 kilometer,https://www.tiket.com/to-do/search?title=Candi%20Borobudur,"The temple, which had entered as one of the seven wonders of the world, was decorated by many reliefs on the walls of the temple.The reliefs in Borobudur Temple reached 2,672 and the length could reach 6 kilometers",Culture and history,"Culture and history The temple, which had entered as one of the seven wonders of the world, was decorated by many reliefs on the walls of the temple.The reliefs in Borobudur Temple reached 2,672 and the length could reach 6 kilometers",17RA7iM5WIU1ewID8mTw47wSwzFHWxIVq,https://drive.google.com/uc?id=17RA7iM5WIU1ewID8mTw47wSwzFHWxIVq
10,Candi Prambanan,4.7,71751,Budaya dan Sejarah,50000.0,50000.0,-7.751834561,110.4915318,"Candi Prambanan adalah kompleks candi Hindu terbesar di Indonesia yang dibangun pada abad ke-9 masehi. Candi ini dipersembahkan untuk Trimurti, tiga dewa utama Hindu yaitu Brahma sebagai dewa pencipta, Wisnu sebagai dewa pemelihara, dan Siwa sebagai dewa pemusnah. Berdasarkan prasasti Siwagrha nama asli kompleks candi ini adalah Siwagrha (bahasa Sanskerta yang bermakna 'Rumah Siwa'), dan memang di garbagriha (ruang utama) candi ini bersemayam arca Siwa Mahadewa setinggi tiga meter yang menujukkan bahwa di candi ini dewa Siwa lebih diutamakan.",https://www.tiket.com/to-do/search?title=Candi%20Prambanan,"Prambanan Temple is the largest Hindu temple complex in Indonesia which was built in the 9th century AD.This temple is dedicated to Trimurti, three main Hindu gods namely Brahma as the creator god, Vishnu as the god preserver, and Shiva as a god of destruction.Based on the Siwagrha inscription, the original name of the temple complex is Siwagrha (Sanskrit which means 'Shiva' house), and indeed in the Garbagriha (main room) this temple resides the three meter high Shiva Statues as high as three meters which shows that in this temple Dewa Shiva is prioritized.",Culture and history,"Culture and history Prambanan Temple is the largest Hindu temple complex in Indonesia which was built in the 9th century AD.This temple is dedicated to Trimurti, three main Hindu gods namely Brahma as the creator god, Vishnu as the god preserver, and Shiva as a god of destruction.Based on the Siwagrha inscription, the original name of the temple complex is Siwagrha (Sanskrit which means 'Shiva' house), and indeed in the Garbagriha (main room) this temple resides the three meter high Shiva Statues as high as three meters which shows that in this temple Dewa Shiva is prioritized.",1ug2o4IWvGLvxeG3HAVm5glMRvhhLgpQQ,https://drive.google.com/uc?id=1ug2o4IWvGLvxeG3HAVm5glMRvhhLgpQQ
24,Tebing Breksi,4.4,51431,Alam,10000.0,10000.0,-7.781476547,110.5045757,"Tebing Breksi merupakan tempat wisata yang berada di wilayah Kabupaten Sleman. Lokasinya berada di sebelah selatan Candi Prambanan dan berdekatan dengan Candi Ijo serta Kompleks Keraton Boko. tempat ini merupakan perbukitan batuan breksi. dari atas tebing wisatawan dapat melihat keseluruhan kota jogja, bahkan aktivitas masyarakat pun dapat terlihat dari atas tebing, serpeti pesawat yang lepas landas, kendaraan yang hilidr mudik.",https://www.tiket.com/to-do/search?title=Tebing%20Breksi,"Tebing Breksi is a tourist spot in the Sleman Regency area.The location is south of Prambanan Temple and adjacent to the Ijo Temple and the Boko Palace Complex.This place is a hills of Breksi rock.From the top of the cliff tourists can see the whole city of Jogja, even community activities can be seen from the top of the cliff, a plane that takes off, a hilidr vehicle that is going home.",Natural,"Natural Tebing Breksi is a tourist spot in the Sleman Regency area.The location is south of Prambanan Temple and adjacent to the Ijo Temple and the Boko Palace Complex.This place is a hills of Breksi rock.From the top of the cliff tourists can see the whole city of Jogja, even community activities can be seen from the top of the cliff, a plane that takes off, a hilidr vehicle that is going home.",1TAZvvlwY3JMuPcsQ3i9PrSxXXMKh7sVJ,https://drive.google.com/uc?id=1TAZvvlwY3JMuPcsQ3i9PrSxXXMKh7sVJ
343,Gembira Loka Zoo,4.5,36337,Fauna,20000.0,25000.0,-7.8062344,110.3967977,"Gambira Loka adalah kebun binatang yang berada di Yogyakarta. Berisi berbagai macam spesies dari belahan dunia, seperti orangutan, gajah asia, simpanse, harimau, dan lain sebagainya. Kebun Binatang Gembira Loka menjadi daya tarik tersendiri bagi para wisatawan Yogyakarta. Gembira Loka Zoo sempat rusak parah akibat gempa bumi yang mengguncang kota Yogyakarta tahun 2006. Tetapi, setelah direnovasi Kebun Binatang Gembira Loka tetap dicari para wisatawan.",https://www.tiket.com/to-do/search?title=Gembira%20Loka%20Zoo,"Gambira Loka is a zoo in Yogyakarta.Contains a variety of species from parts of the world, such as orangutans, Asian elephants, chimpanzees, tigers, and so forth.Gembira Loka Zoo is a special attraction for Yogyakarta tourists.Happy Loka Zoo was badly damaged by the earthquake that shook the city of Yogyakarta in 2006. However, after being renovated by the Gembira Loka Zoo, the tourists were still sought.",Fauna,"Fauna Gambira Loka is a zoo in Yogyakarta.Contains a variety of species from parts of the world, such as orangutans, Asian elephants, chimpanzees, tigers, and so forth.Gembira Loka Zoo is a special attraction for Yogyakarta tourists.Happy Loka Zoo was badly damaged by the earthquake that shook the city of Yogyakarta in 2006. However, after being renovated by the Gembira Loka Zoo, the tourists were still sought.",1vITPWWt8GwxYguFDm3JED6DsZRDm_HsP,https://drive.google.com/uc?id=1vITPWWt8GwxYguFDm3JED6DsZRDm_HsP
346,The Palace of Yogyakarta (Keraton Yogyakarta),4.6,30091,Budaya dan Sejarah,8000.0,8000.0,-7.8052845,110.3642031,"Kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan, termasuk berbagai pemberian dari raja-raja Eropa, replika pusaka keraton, dan gamelan. Dari segi bangunannya, keraton ini merupakan salah satu contoh arsitektur istana Jawa yang terbaik, memiliki balairung-balairung mewah dan lapangan serta paviliun yang luas.",https://www.tiket.com/to-do/search?title=The%20Palace%20of%20Yogyakarta%20%28Keraton%20Yogyakarta%29,"The palace complex is a museum that stores various collections belonging to the Sultanate, including various gifts from European kings, replicas of the palace heirloom, and gamelan.In terms of the building, this palace is one of the best examples of Javanese Palace architecture, has luxurious balairungs and a vast field and pavilion.",Culture and history,"Culture and history The palace complex is a museum that stores various collections belonging to the Sultanate, including various gifts from European kings, replicas of the palace heirloom, and gamelan.In terms of the building, this palace is one of the best examples of Javanese Palace architecture, has luxurious balairungs and a vast field and pavilion.",1TEv0oeZu1YWhjCIoyUZSuJn4rUeofrc0,https://drive.google.com/uc?id=1TEv0oeZu1YWhjCIoyUZSuJn4rUeofrc0
8,Taman Sari,4.6,27899,Budaya dan Sejarah,5000.0,5000.0,-7.809833449,110.3595117,"Taman Sari Yogyakarta, merupakan salah satu bangunan milik kesultanan Yogyakarta yang difungsikan sebagai destinasi wisata. Namun selain sebagai destinasi wisata, taman sari pada saat tertentu juga masih digunakan sebagai tempat ritual oleh keluarga raja. Dengan bentuk bangunan arsitektur ala Portugis-Jawa, bangunan di taman ini menjadi daya tarik utama. Meskipun sekarang kondisi bangunan tak lagi utuh seperti saat masih difungsikan sebagai taman kesultanan, namun tetap saja aura keindahan terpancar kuat dari bangunan bangunan di taman ini.",https://www.tiket.com/to-do/search?title=Taman%20Sari,"Taman Sari Yogyakarta, is one of the buildings belonging to the Yogyakarta Sultanate which functions as a tourist destination.But in addition to being a tourist destination, Taman Sari at certain times is also still used as a ritual place by the King's family.With the form of a Portuguese-style architectural building, the building in this park is the main attraction.Although now the condition of the building is no longer intact like when it is still functioning as a Sultanate Park, but still the aura of beauty radiated strongly from the building in this park.",Culture and history,"Culture and history Taman Sari Yogyakarta, is one of the buildings belonging to the Yogyakarta Sultanate which functions as a tourist destination.But in addition to being a tourist destination, Taman Sari at certain times is also still used as a ritual place by the King's family.With the form of a Portuguese-style architectural building, the building in this park is the main attraction.Although now the condition of the building is no longer intact like when it is still functioning as a Sultanate Park, but still the aura of beauty radiated strongly from the building in this park.",1pmSb1gyxM3xAT50FslzgWSOvmmzaKIU2,https://drive.google.com/uc?id=1pmSb1gyxM3xAT50FslzgWSOvmmzaKIU2
418,Hutan Pinus Mangunan Dlingo,4.6,18271,Alam,3000.0,3000.0,-7.9267837,110.4319967,"hutan pinus mangunan yang ada di Jogja bisa menjadi destinasi hutan yang tepat. Disana banyak terdapat pepohonan yang tinggi menjulang, yang dikenal dengan nama Pinus Merkusi. Nggak heran deh kalau banyak wisatawan yang merasa kepincut dengan objek wisata ini, sebab kesejukan dan keindahan pemandangannya benar-benar mempesona mata.",https://www.tiket.com/to-do/search?title=Hutan%20Pinus%20Mangunan%20Dlingo,"Mangunan pine forest in Jogja can be the right forest destination.There are many tall trees soaring, known as Pinus Mercusi.No wonder that many tourists feel smitten with this attraction, because the coolness and beauty of the scenery is truly charming.",Natural,"Natural Mangunan pine forest in Jogja can be the right forest destination.There are many tall trees soaring, known as Pinus Mercusi.No wonder that many tourists feel smitten with this attraction, because the coolness and beauty of the scenery is truly charming.",1riv53XduhJn5qUPvdjFdskK7urZYvfPj,https://drive.google.com/uc?id=1riv53XduhJn5qUPvdjFdskK7urZYvfPj
126,Jogja Bay,4.4,16877,Wisata Air,90000.0,100000.0,-7.7478461,110.4188754,"Jogja Bay Waterpark (JBW) salah satu waterpark terbesar di asia tenggara yang berlokasi di kota wisata terbesar kedua di Indonesia yaitu Yogyakarta. Dan belakangan ini sudah menjadi salah satu tujuan destinasi wisata di Yogyakarta. Waterpark yang saat ini merupakan atraksi wahana air terbesar, terlengkap berstandar internasional dan memiliki karakter Bajak Laut – dengan bangga menyampaikan sesuai TripAdvisor Internasional telah merilis tahun 2019 “Jogja Bay Waterpark di Yogyakarta sebagai Waterpark Terbaik ke 3 di Asia”. Jogjabay telah tersertifikasi CHSE (Clean, Health, Safety, & Enviroment) dengan score 100% dari Kemenparekraf RI dan Sucofindo.",https://www.tiket.com/to-do/search?title=Jogja%20Bay,"Jogja Bay Waterpark (JBW) is one of the largest waterpark in Southeast Asia located in the second largest tourist city in Indonesia, Yogyakarta.And lately it has become one of the destinations of tourist destinations in Yogyakarta.Waterpark, which is currently the largest, most comprehensive, international standard water rides and has a pirate character - with proud to convey according to the International TripAdvisor, ""Jogja Bay Waterpark in Yogyakarta as the 3rd Best Waterpark in Asia"".Jogjabay has been certified ChSE (Clean, Health, Safety, & Enviroment) with a score of 100% from Kemenparekraf RI and Sucofindo.",Water Tourism,"Water Tourism Jogja Bay Waterpark (JBW) is one of the largest waterpark in Southeast Asia located in the second largest tourist city in Indonesia, Yogyakarta.And lately it has become one of the destinations of tourist destinations in Yogyakarta.Waterpark, which is currently the largest, most comprehensive, international standard water rides and has a pirate character - with proud to convey according to the International TripAdvisor, ""Jogja Bay Waterpark in Yogyakarta as the 3rd Best Waterpark in Asia"".Jogjabay has been certified ChSE (Clean, Health, Safety, & Enviroment) with a score of 100% from Kemenparekraf RI and Sucofindo.",1qoRZ6Ont262A25SVP7J3kMXdMVPjkBsl,https://drive.google.com/uc?id=1qoRZ6Ont262A25SVP7J3kMXdMVPjkBsl
158,The World Landmarks - Merapi Park Yogyakarta,4.2,16201,Buatan,15000.0,15000.0,-7.6209046,110.4216275,"Merapi Park merupakan tempat wisata yang dihadirkan sebagai tempat rekreasi keluarga. taman bermain dengan taman taman yang tertata rapi dan terkesan sejuk, sangat pas anda habiskan bersma sang buah hati atau kekasih tersayang. taman bunga dan bangku panjang paduan yang sempurna untuk sekedar bercengkrama lepas tanpa terganggu bisingnya lalu lalang kendaraan. tentu saja karena merapi park jogja ini terletak di bawah kaki gunung merapi kaliurang yang sepi dan sejuk. panorama kaki gunung inilah akan membuat hasil jepretan foto Anda menjadi lebih berwarna, cantik dan menarik.",https://www.tiket.com/to-do/search?title=The%20World%20Landmarks%20-%20Merapi%20Park%20Yogyakarta,"Merapi Park is a tourist spot that is presented as a family recreation area.The playground with a garden is neatly arranged and looks cool, it is very fitting that you spend the baby or a dear beloved baby.Flower gardens and long alloy benches that are perfect for just chatting unplusions without being disturbed by noise passing by vehicles.Of course because Merapi Park Jogja is located under the foot of the mountain of Merapi Kaliurang which is quiet and cool.This mountain foot panorama will make your photo shots more colorful, more beautiful and attractive.",Artificial,"Artificial Merapi Park is a tourist spot that is presented as a family recreation area.The playground with a garden is neatly arranged and looks cool, it is very fitting that you spend the baby or a dear beloved baby.Flower gardens and long alloy benches that are perfect for just chatting unplusions without being disturbed by noise passing by vehicles.Of course because Merapi Park Jogja is located under the foot of the mountain of Merapi Kaliurang which is quiet and cool.This mountain foot panorama will make your photo shots more colorful, more beautiful and attractive.",1ZAFUsfW8ehMsVhkQOfPAEu1SdVhDDspm,https://drive.google.com/uc?id=1ZAFUsfW8ehMsVhkQOfPAEu1SdVhDDspm
457,The Lost World Castle,4.3,16110,"Buatan, Alam",30000.0,30000.0,-7.6041648,110.4510042,"Di dalam The Lost World Casle, pengunjung disuguhkan potret gagahnya Gunung Merapi. Selain itu, di dalam objek wisata ini terdapat berbagai latar untuk mengambil foto yang menarik, di antaranya taman koboi, awan putih, sepeda motor terbang, sayap bidadari, dan lain-lain. Selain itu, ada juga latar foto trik tiga-dimensi berupa air terjun, permadani terbang, dan beberapa bunga sakura tiruan yang turut menghidupkan suasana.",https://www.tiket.com/to-do/search?title=The%20Lost%20World%20Castle,"In The Lost World Casle, visitors are presented with a dashing portrait of Mount Merapi.In addition, in this tourist attraction there are various backgrounds for taking interesting photos, including cowboy parks, white clouds, flying motorbikes, angel wings, and others.In addition, there is also a background of three-dimensional tricks in the form of waterfalls, flying rugs, and some artificial cherry blossoms that helped liven up the atmosphere.","Artificial, nature","Artificial, nature In The Lost World Casle, visitors are presented with a dashing portrait of Mount Merapi.In addition, in this tourist attraction there are various backgrounds for taking interesting photos, including cowboy parks, white clouds, flying motorbikes, angel wings, and others.In addition, there is also a background of three-dimensional tricks in the form of waterfalls, flying rugs, and some artificial cherry blossoms that helped liven up the atmosphere.",1ttW5m8cVsy-sqqgMoA5IBeHuwpePRd25,https://drive.google.com/uc?id=1ttW5m8cVsy-sqqgMoA5IBeHuwpePRd25
